texto,label
"Actúa con responsabilidad intergeneracional en sus decisiones académicas",1
"Promueve ética del cuidado en todas sus interacciones académicas",1
"Muestra capacidad para trabajar hacia el bien común colectivo",1
"Desarrolla visión integral que trasciende intereses individuales inmediatos",1
"Demuestra comprensión profunda de responsabilidades como aprendiz del siglo XXI",1
"Desinterés en las actividades de clase",0
"Falta de motivación evidente",0
"Se distrae con facilidad durante la clase",0
"Problemas frecuentes con compañeros",0
"Actitud conflictiva y poco colaboradora",0
"No entrega tareas y muestra poco compromiso",0
"Bajo rendimiento y poca participación",0
"Demuestra desorganización constante",0
"Dificultades para trabajar en grupo",0
"Desmotivación y apatía ante el aprendizaje",0
"Ausencias frecuentes sin justificación adecuada",0
"Llegadas tardías recurrentes interrumpiendo la clase",0
"Uso constante de celular en actividades académicas",0
"Respuestas cortantes o irrespetuosas a preguntas",0
"Evasión sistemática de trabajos grupales",0
"Copiado en evaluaciones o plagio en trabajos",0
"Actitud desafiante hacia figuras de autoridad",0
"Aislamiento social persistente durante actividades",0
"Fatiga o somnolencia constante en horarios de clase",0
"Negativa a participar incluso en actividades sencillas",0
"Expresiones de frustración o ira ante desafíos académicos",0
"Falta de materiales básicos de forma reiterada",0
"Incapacidad para seguir instrucciones secuenciales",0
"Comportamientos disruptivos que afectan al grupo",0
"Descuido evidente en la presentación de trabajos",0
"Promesas de mejora que no se materializan en acciones",0
"Justificaciones constantes para bajo rendimiento",0
"Resistencia activa a metodologías de enseñanza",0
"Dificultades graves de concentración sostenida",0
"Indicios de problemas personales que afectan lo académico",0
"Comunicación agresiva o pasivo-agresiva con pares",0
"Abandono prematuro de actividades sin permiso",0
"Falta de objetivos académicos o profesionales claros",0
"Priorización de actividades no académicas durante clases",0
"Historial de conflictos con múltiples profesores",0
"Respuestas evasivas cuando se pregunta sobre su avance",0
"Deterioro progresivo en calidad de trabajo entregado",0
"Ausencia de contacto visual en interacciones académicas",0
"Postura corporal cerrada y defensiva constantemente",0
"Muestra signos de estrés académico severo no manejado",0
"No muestra interés por mejorar sus calificaciones",0
"Falta de responsabilidad con trabajos grupales asignados",0
"Actitud derrotista ante cualquier desafío académico",0
"Minimiza la importancia de la educación formal",0
"Uso inapropiado del lenguaje dentro del aula",0
"Falta de respeto hacia las opiniones de sus compañeros",0
"Constantes excusas para no participar en actividades",0
"Inversión de tiempo en redes sociales durante clases",0
"Demuestra apatía hacia proyectos de investigación",0
"Incumplimiento reiterado de plazos de entrega",0
"Desinterés por recibir retroalimentación docente",0
"Actitud cínica hacia el proceso de aprendizaje",0
"Manipulación de calificaciones o resultados académicos",0
"Falta de autocrítica sobre su propio desempeño",0
"Tendencia a culpar a otros por sus fracasos académicos",0
"Resistencia a técnicas de estudio recomendadas",0
"Preferencia por métodos de aprendizaje ineficientes",0
"Falta de planificación para exámenes importantes",0
"Desmotivación contagiosa hacia otros estudiantes",0
"Uso excesivo de jerga juvenil inapropiada en contexto académico",0
"Negativa a aceptar ayuda cuando claramente la necesita",0
"Comportamientos de riesgo durante horas lectivas",0
"Desprecio por materiales didácticos proporcionados",0
"Falta de cuidado con equipos tecnológicos del aula",0
"Actitud consumista hacia la educación (solo por título)",0
"Falta de ética en competencias académicas",0
"Sobreestimación constante de sus capacidades reales",0
"Subestimación del esfuerzo necesario para aprender",0
"Falta de compromiso con actividades complementarias",0
"Desinterés por desarrollar habilidades blandas",0
"Priorización de actividades sociales sobre académicas",0
"Actitud pasiva-agresiva cuando se le corrige",0
"Uso de vocabulario limitado en expresiones académicas",0
"Falta de iniciativa para resolver dudas básicas",0
"Tendencia al conformismo con resultados mediocres",0
"Desinterés por actualizarse en su área de estudio",0
"Falta de visión a largo plazo sobre su formación",0
"Actitud individualista que perjudica el trabajo en equipo",0
"Desprecio por asignaturas consideradas 'no importantes'",0
"Falta de adaptación a diferentes estilos de enseñanza",0
"Resistencia a cambios en metodologías educativas",0
"Baja tolerancia a la frustración ante errores",0
"Falta de resiliencia ante desafíos académicos",0
"Actitud negativa hacia compañeros con mejor rendimiento",0
"Comportamiento envidioso en contextos de evaluación",0
"Falta de reconocimiento hacia logros de otros",0
"Desinterés por participar en foros de discusión académica",0
"Priorización de calificaciones sobre aprendizaje real",0
"Falta de curiosidad intelectual en cualquier tema",0
"Actitud pasiva que requiere estímulo constante",0
"No establece metas académicas alcanzables",0
"Falta de método para organizar sus apuntes",0
"Desinterés por técnicas de memorización efectivas",0
"Priorización de aprendizaje memorístico sobre comprensivo",0
"Falta de aplicación práctica de conocimientos teóricos",0
"Desmotivación ante asignaturas que requieren esfuerzo sostenido",0
"Tendencia a abandonar tareas al primer obstáculo",0
"Falta de perseverancia en proyectos a largo plazo",0
"Actitud derrotista ante materias que inicialmente le cuestan",0
"Desinterés por desarrollar pensamiento crítico",0
"Preferencia por respuestas simples sobre análisis profundos",0
"Falta de capacidad para sintetizar información compleja",0
"Resistencia a leer material bibliográfico adicional",0
"Desinterés por investigar más allá de lo obligatorio",0
"Falta de iniciativa para consultar fuentes primarias",0
"Actitud superficial hacia contenidos académicos",0
"Priorización de formato sobre contenido en trabajos",0
"Falta de atención a detalles importantes en instrucciones",0
"Desinterés por mejorar su ortografía y redacción",0
"Actitud indiferente hacia correcciones de lenguaje",0
"Falta de cuidado en presentación física de trabajos",0
"Desinterés por desarrollar habilidades de presentación oral",0
"Actitud negativa hacia ejercicios de oratoria",0
"Falta de preparación para exposiciones grupales",0
"Desinterés por retroalimentación sobre su comunicación",0
"Actitud evasiva durante evaluaciones orales",0
"Falta de participación constructiva en debates académicos",0
"Desinterés por comprender diferentes perspectivas teóricas",0
"Actitud cerrada ante nuevas corrientes de pensamiento",0
"Falta de flexibilidad mental para abordar problemas",0
"Resistencia a metodologías de aprendizaje colaborativo",0
"Desinterés por dinámicas grupales de construcción colectiva",0
"Actitud competitiva negativa en entornos cooperativos",0
"Falta de habilidades para mediar conflictos en equipo",0
"Desinterés por desarrollar inteligencia emocional académica",0
"Actitud defensiva ante críticas constructivas",0
"Falta de autocontrol en situaciones de presión académica",0
"Desinterés por técnicas de manejo de estrés estudiantil",0
"Actitud negativa hacia programas de apoyo psicológico",0
"Falta de consciencia sobre su propio proceso de aprendizaje",0
"Desinterés por autoevaluar su progreso académico",0
"Actitud pasiva en la búsqueda de recursos de apoyo",0
"Falta de proactividad para resolver problemas logísticos",0
"Desinterés por optimizar su entorno de estudio",0
"Actitud conformista con condiciones subóptimas de aprendizaje",0
"Falta de iniciativa para crear redes de estudio",0
"Desinterés por mentorías o tutorías disponibles",0
"Actitud escéptica hacia programas de nivelación académica",0
"Falta de compromiso con su propio proceso formativo",0
"Desinterés por explorar conexiones entre diferentes asignaturas",0
"Actitud fragmentaria hacia el conocimiento integral",0
"Falta de visión holística sobre su formación educativa",0
"Falta de ética en trabajos colaborativos, se apropia de ideas ajenas",0
"Actitud soberbia que le impide reconocer sus limitaciones",0
"Constante comparación negativa con compañeros de menor rendimiento",0
"Uso de enfermedades falsas para evitar evaluaciones",0
"Manipulación emocional para obtener prórrogas injustificadas",0
"Desprecio por actividades de aprendizaje experiencial",0
"Falta de honestidad intelectual en argumentaciones",0
"Resistencia a utilizar nuevas tecnologías educativas",0
"Actitud pasiva que frena el avance de proyectos grupales",0
"Tendencia a monopolizar conversaciones sin contenido sustancial",0
"Falta de humildad para aprender de errores básicos",0
"Desinterés por establecer relaciones profesionales con docentes",0
"Uso constante de lenguaje informal en contextos académicos formales",0
"Actitud despectiva hacia compañeros con estilos de aprendizaje diferentes",0
"Falta de compromiso con actividades de servicio comunitario académico",0
"Priorización de trabajos extracurriculares remunerados sobre estudios",0
"Desmotivación ante asignaturas que no percibe como 'útiles' inmediatamente",0
"Actitud consumista hacia la educación superior",0
"Falta de visión sobre aplicación práctica de teorías aprendidas",0
"Desinterés por desarrollar competencias investigativas",0
"Resistencia a metodologías de aprendizaje basado en proyectos",0
"Actitud negativa hacia la lectura crítica de textos académicos",0
"Falta de disciplina para mantener horarios de estudio consistentes",0
"Tendencia a procrastinar hasta límites críticos",0
"Desinterés por desarrollar hábitos de estudio saludables",0
"Actitud fatalista sobre sus posibilidades de mejora académica",0
"Falta de autocuidado que afecta su rendimiento académico",0
"Priorización de vida social nocturna sobre descanso académico",0
"Desinterés por nutrición adecuada para optimizar rendimiento mental",0
"Actitud de victimización constante en contextos evaluativos",0
"Falta de responsabilidad con préstamos de material bibliográfico",0
"Tendencia a dañar equipos o materiales por descuido reiterado",0
"Desinterés por conservar en buen estado su espacio de estudio",0
"Actitud irresponsable con datos confidenciales en trabajos grupales",0
"Falta de confidencialidad en información académica sensible",0
"Uso inapropiado de inteligencia artificial para completar trabajos",0
"Actitud dependiente excesiva de herramientas tecnológicas",0
"Falta de criterio para discriminar fuentes confiables de información",0
"Tendencia al plagio por comodidad o falta de tiempo",0
"Desinterés por desarrollar habilidades de citación académica",0
"Actitud negativa hacia reglas de propiedad intelectual",0
"Falta de ética en competencias académicas intraescolares",0
"Uso de estratagemas para obtener ventajas injustas en evaluaciones",0
"Actitud de desprecio hacia códigos de honor académico",0
"Falta de integridad en autoevaluaciones y coevaluaciones",0
"Tendencia a inflar logros o capacidades en presentaciones",0
"Desinterés por desarrollar autenticidad en producción académica",0
"Actitud mercantilista hacia relaciones con docentes",0
"Falta de profesionalismo en comunicaciones institucionales",0
"Uso de presión social para obtener beneficios académicos",0
"Actitud de exigencia sin corresponder con esfuerzo propio",0
"Falta de gratitud hacia oportunidades de aprendizaje ofrecidas",0
"Tendencia a desvalorizar recursos educativos gratuitos",0
"Desinterés por aprovechar al máximo instalaciones académicas",0
"Actitud derrochadora con materiales educativos proporcionados",0
"Falta de conciencia ecológica en uso de recursos académicos",0
"Uso excesivo de papel sin reciclaje en trabajos académicos",0
"Actitud indiferente hacia campañas de sostenibilidad educativa",0
"Falta de participación en iniciativas de mejora del entorno académico",0
"Tendencia a contaminar espacios de estudio comunes",0
"Desinterés por mantener limpieza en aulas y laboratorios",0
"Actitud vandálica hacia infraestructura educativa",0
"Falta de respeto por patrimonio histórico o cultural de la institución",0
"Uso inadecuado de redes sociales para difamar procesos académicos",0
"Actitud cibernética negativa que afecta clima escolar digital",0
"Falta de netiqueta en comunicaciones virtuales académicas",0
"Tendencia a crear conflictos en foros virtuales de aprendizaje",0
"Desinterés por desarrollar ciudadanía digital responsable",0
"Actitud de acoso cibernético hacia compañeros o docentes",0
"Falta de protección de su propia identidad digital académica",0
"Uso de perfiles falsos para evadir responsabilidades académicas",0
"Actitud evasiva hacia formación en seguridad digital educativa",0
"Falta de cuidado con contraseñas y acceso a plataformas educativas",0
"Tendencia a compartir credenciales académicas irresponsablemente",0
"Desinterés por actualizarse en competencias digitales educativas",0
"Actitud resistente a migración hacia entornos virtuales de aprendizaje",0
"Falta de adaptabilidad a modalidades híbridas de educación",0
"Uso de limitaciones tecnológicas como excusa constante",0
"Actitud de rechazo hacia innovaciones pedagógicas digitales",0
"Falta de inversión en equipamiento básico para educación virtual",0
"Tendencia a culpar a la tecnología por sus deficiencias académicas",0
"Desinterés por desarrollar autonomía en entornos de aprendizaje digital",0
"Actitud dependiente en resolución de problemas tecnológicos básicos",0
"Falta de iniciativa para capacitarse en herramientas digitales educativas",0
"Uso de brecha digital como justificación para bajo rendimiento",0
"Actitud de resistencia a certificaciones digitales académicas",0
"Falta de visión sobre importancia de competencias digitales en mercado laboral",0
"Tendencia a subestimar valor de portafolios digitales académicos",0
"Desinterés por construir identidad digital profesional desde la academia",0
"Actitud negativa hacia redes profesionales académicas en línea",0
"Falta de participación en comunidades virtuales de aprendizaje especializado",0
"Uso limitado de recursos educativos abiertos disponibles en línea",0
"Actitud pasiva hacia oportunidades de aprendizaje global en internet",0
"Falta de curiosidad por conocer prácticas educativas internacionales",0
"Tendencia a limitarse a contenidos curriculares mínimos exigidos",0
"Desinterés por aprendizaje a lo largo de la vida (lifelong learning)",0
"Actitud cerrada hacia educación continua o formación adicional",0
"Falta de proyección sobre necesidades de actualización profesional futura",0
"Uso de edad como excusa para no adaptarse a nuevas exigencias educativas",0
"Actitud generacional como barrera para procesos de aprendizaje",0
"Falta de empatía intergeneracional en dinámicas académicas",0
"Tendencia a crear divisiones generacionales dentro del aula",0
"Desinterés por aprender de experiencias de compañeros de diferentes edades",0
